Table Name,State Code,District code,Tehsil Code,Town Code,Area Name,Total/Rural/Urban,Location of source of drinking water,Total Number of Households,Tapwater from treated source,"Tapwater from
untreated source",Covered well,Uncovered well,Handpump,Tubewell/Borehole,Spring,"River/
Canal","Tank/
Pond/
Lake", Other sources
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Rural,Away,"16,968","1,804","6,578",168,"1,743","1,997","4,318",30,17,40,273
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Urban,Total,"4,830","3,062","1,209",6, NaN   ,122,411,6, NaN   ,4,10
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Urban,Within the premises,"1,770","1,285",278,5, NaN   ,1,201, NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Urban,Near the premises,"1,784","1,001",659,1, NaN   ,3,116,2, NaN   ,1,1
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Urban,Away,"1,276",776,272, NaN   , NaN   ,118,94,4, NaN   ,3,9
HH2206,29,560,5465,803071,Kushtagi (TMC),Urban,Total,"4,830","3,062","1,209",6, NaN   ,122,411,6, NaN   ,4,10
HH2206,29,560,5465,803071,Kushtagi (TMC),Urban,Within the premises,"1,770","1,285",278,5, NaN   ,1,201, NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5465,803071,Kushtagi (TMC),Urban,Near the premises,"1,784","1,001",659,1, NaN   ,3,116,2, NaN   ,1,1
HH2206,29,560,5465,803071,Kushtagi (TMC),Urban,Away,"1,276",776,272, NaN   , NaN   ,118,94,4, NaN   ,3,9
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Total,Total,"88,268","35,328","26,159",692,769,"9,484","12,492",73,"1,297","1,419",555
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Total,Within the premises,"22,072","11,893","5,807",78,75,949,"3,270", NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Total,Near the premises,"45,079","17,740","13,976",291,497,"4,562","6,796",29,486,511,191
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Total,Away,"21,117","5,695","6,376",323,197,"3,973","2,426",44,811,908,364
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Rural,Total,"65,330","19,783","22,862",638,721,"8,324","9,958",48,"1,269","1,407",320
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Rural,Within the premises,"14,817","6,974","5,088",47,64,821,"1,823", NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Rural,Near the premises,"32,921","9,018","12,146",276,462,"3,922","6,003",7,465,499,123
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Rural,Away,"17,592","3,791","5,628",315,195,"3,581","2,132",41,804,908,197
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Urban,Total,"22,938","15,545","3,297",54,48,"1,160","2,534",25,28,12,235
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Urban,Within the premises,"7,255","4,919",719,31,11,128,"1,447", NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Urban,Near the premises,"12,158","8,722","1,830",15,35,640,793,22,21,12,68
HH2206,29,560,5466,0,SubDistrict  Gangawati ,Urban,Away,"3,525","1,904",748,8,2,392,294,3,7, NaN   ,167
HH2206,29,560,5466,803072,Gangawati (CMC + OG),Urban,Total,"22,938","15,545","3,297",54,48,"1,160","2,534",25,28,12,235
HH2206,29,560,5466,803072,Gangawati (CMC + OG),Urban,Within the premises,"7,255","4,919",719,31,11,128,"1,447", NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5466,803072,Gangawati (CMC + OG),Urban,Near the premises,"12,158","8,722","1,830",15,35,640,793,22,21,12,68
HH2206,29,560,5466,803072,Gangawati (CMC + OG),Urban,Away,"3,525","1,904",748,8,2,392,294,3,7, NaN   ,167
HH2206,29,560,5467,0,SubDistrict  Koppal ,Total,Total,"71,561","37,348","19,246",113,387,"1,476","11,551",75,632,461,272
HH2206,29,560,5467,0,SubDistrict  Koppal ,Total,Within the premises,"21,492","15,155","4,257",33,27,38,"1,982", NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5467,0,SubDistrict  Koppal ,Total,Near the premises,"33,183","15,114","10,240",35,256,500,"6,326",17,600,16,79
HH2206,29,560,5467,0,SubDistrict  Koppal ,Total,Away,"16,886","7,079","4,749",45,104,938,"3,243",58,32,445,193
HH2206,29,560,5467,0,SubDistrict  Koppal ,Rural,Total,"55,941","23,697","17,994",102,368,"1,330","11,259",64,482,455,190
HH2206,29,560,5467,0,SubDistrict  Koppal ,Rural,Within the premises,"13,274","7,571","3,826",26,21,35,"1,795", NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5467,0,SubDistrict  Koppal ,Rural,Near the premises,"27,464","10,280","9,674",34,246,478,"6,236",6,455,10,45
HH2206,29,560,5467,0,SubDistrict  Koppal ,Rural,Away,"15,203","5,846","4,494",42,101,817,"3,228",58,27,445,145
HH2206,29,560,5467,0,SubDistrict  Koppal ,Urban,Total,"15,620","13,651","1,252",11,19,146,292,11,150,6,82
HH2206,29,560,5467,0,SubDistrict  Koppal ,Urban,Within the premises,"8,218","7,584",431,7,6,3,187, NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5467,0,SubDistrict  Koppal ,Urban,Near the premises,"5,719","4,834",566,1,10,22,90,11,145,6,34
HH2206,29,560,5467,0,SubDistrict  Koppal ,Urban,Away,"1,683","1,233",255,3,3,121,15, NaN   ,5, NaN   ,48
HH2206,29,560,5467,803073,Koppal (CMC),Urban,Total,"13,788","12,182","1,034",11,17,135,211,11,111,4,72
HH2206,29,560,5467,803073,Koppal (CMC),Urban,Within the premises,"6,949","6,413",353,7,4,3,169, NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5467,803073,Koppal (CMC),Urban,Near the premises,"5,240","4,558",472,1,10,12,28,11,111,4,33
HH2206,29,560,5467,803073,Koppal (CMC),Urban,Away,"1,599","1,211",209,3,3,120,14, NaN   , NaN   , NaN   ,39
HH2206,29,560,5467,601860,Munirabad Project Area (CT),Urban,Total,"1,832","1,469",218, NaN   ,2,11,81, NaN   ,39,2,10
HH2206,29,560,5467,601860,Munirabad Project Area (CT),Urban,Within the premises,"1,269","1,171",78, NaN   ,2, NaN   ,18, NaN   , NaN   , NaN   , NaN   
